sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
188705,2,2,0,1,0.0094266666666666,113.0,0.0,2,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,113.0,111.0
188706,10,10,0,10,0.0104066666666666,113.0,0.0,10,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,113.0,103.0
192047,2,2,0,0,0.0062533333333333,77.0,0.0,2,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,77.0,75.0
188707,1,1,0,0,0.0041533333333333,68.0,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,68.0,67.0
188698,9,9,0,0,0.01148,39.5,0.0,9,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,39.5,30.5
841250,1,1,0,0,0.0125066666666666,30.714285714285715,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,30.714285714285715,29.714285714285715
192033,1,1,0,0,0.0010733333333333,21.75,1.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.75,20.75
69756,1,1,0,0,0.0021,21.625,2.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.625,20.625
188736,4,4,0,2,0.0041533333333333,22.666666666666668,3.0,4,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,22.666666666666668,18.666666666666668
63361,1,2,0,0,0.0,19.125,0.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,19.125,18.125
199738,1,2,0,0,0.0,16.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.0
192198,4,4,0,1,0.0052266666666666,17.636363636363637,1.8889,4,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,17.636363636363637,13.636363636363637
92850,9,6,0,9,0.0041533333333333,22.53115,0.0,6,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,22.53115,13.53115
698520,8,8,0,4,0.0083533333333333,21.454545454545453,5.3333,8,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,21.454545454545453,13.454545454545453
43839,1,1,0,0,0.0012692592592592,13.625,13.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.625,12.625
96596,3,27,7,7,15.400000000000002,3.0,3.0,3,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,15.400000000000002,12.400000000000002
195051,2,2,0,0,0.0208133333333333,13.333333333333334,13.3333,2,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,13.333333333333334,11.333333333333334
90903,1,2,0,0,0.0,11.0000005,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0000005,10.0000005
188700,29,29,0,0,0.0052266666666666,39.0,0.0,29,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,39.0,10.0
192032,1,2,0,0,0.0,10.5,1.8333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
195102,1,2,0,0,0.0,9.25,1.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.25,8.25
46889,1,1,0,0,0.0052266666666666,9.0,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
