field,value,row_count
selected_demand_units,0,4
selected_demand_units,1,3506
selected_demand_units,2,21
total_expected_demand_units,0,4
total_expected_demand_units,1,3212
total_expected_demand_units,2,7
total_expected_demand_units,3,1
total_expected_demand_units,17,6
total_expected_demand_units,25,3
total_expected_demand_units,29,2
total_expected_demand_units,33,3
total_expected_demand_units,49,5
total_expected_demand_units,57,253
total_expected_demand_units,65,2
total_expected_demand_units,67,1
total_expected_demand_units,69,1
total_expected_demand_units,71,1
total_expected_demand_units,76,4
total_expected_demand_units,79,1
total_expected_demand_units,81,2
total_expected_demand_units,85,5
total_expected_demand_units,97,3
total_expected_demand_units,103,1
total_expected_demand_units,113,8
total_expected_demand_units,141,1
total_expected_demand_units,169,3
total_expected_demand_units,197,1
total_expected_demand_units,241,1
promo_window_demand_units,0,4
promo_window_demand_units,1,3527
pre_promo_demand_units,0,3216
pre_promo_demand_units,1,7
pre_promo_demand_units,2,1
pre_promo_demand_units,16,6
pre_promo_demand_units,24,3
pre_promo_demand_units,28,2
pre_promo_demand_units,32,3
pre_promo_demand_units,48,5
pre_promo_demand_units,56,253
pre_promo_demand_units,64,2
pre_promo_demand_units,66,1
pre_promo_demand_units,68,1
pre_promo_demand_units,70,1
pre_promo_demand_units,75,4
pre_promo_demand_units,78,1
pre_promo_demand_units,80,2
pre_promo_demand_units,84,5
pre_promo_demand_units,96,3
pre_promo_demand_units,102,1
pre_promo_demand_units,112,8
pre_promo_demand_units,140,1
pre_promo_demand_units,168,3
pre_promo_demand_units,196,1
pre_promo_demand_units,240,1
demand_forecast_confidence,MEDIUM,2158
demand_forecast_confidence,LOW,833
demand_forecast_confidence,HIGH,540
demand_forecast_basis,MODEL_PREDICTION,3531
demand_forecast_reason_code,MODEL_PREDICTION_USED,3531
selected_demand_quantile,q50,3429
selected_demand_quantile,q85,101
selected_demand_quantile,q95,1
